DATE,GDP
1947/1/1,243.164
1947/4/1,245.968
1947/7/1,249.585
1947/10/1,259.745
1948/1/1,265.742
1948/4/1,272.567
1948/7/1,279.196
1948/10/1,280.366
1949/1/1,275.034
1949/4/1,271.351
1949/7/1,272.889
1949/10/1,270.627
1950/1/1,280.828
1950/4/1,290.383
1950/7/1,308.153
1950/10/1,319.945
1951/1/1,336
1951/4/1,344.09
1951/7/1,351.385
1951/10/1,356.178
1952/1/1,359.82
1952/4/1,361.03
1952/7/1,367.701
1952/10/1,380.812
1953/1/1,387.98
1953/4/1,391.749
1953/7/1,391.171
1953/10/1,385.97
1954/1/1,385.345
1954/4/1,386.121
1954/7/1,390.996
1954/10/1,399.734
1955/1/1,413.073
1955/4/1,421.532
1955/7/1,430.221
1955/10/1,437.092
1956/1/1,439.746
1956/4/1,446.01
1956/7/1,451.191
1956/10/1,460.463
1957/1/1,469.779
1957/4/1,472.025
1957/7/1,479.49
1957/10/1,474.864
1958/1/1,467.54
1958/4/1,471.978
1958/7/1,485.841
1958/10/1,499.555
1959/1/1,510.33
1959/4/1,522.653
1959/7/1,525.034
1959/10/1,528.6
1960/1/1,542.648
1960/4/1,541.08
1960/7/1,545.604
1960/10/1,540.197
1961/1/1,545.018
1961/4/1,555.545
1961/7/1,567.664
1961/10/1,580.612
1962/1/1,594.013
1962/4/1,600.366
1962/7/1,609.027
1962/10/1,612.28
1963/1/1,621.672
1963/4/1,629.752
1963/7/1,644.444
1963/10/1,653.938
1964/1/1,669.822
1964/4/1,678.674
1964/7/1,692.031
1964/10/1,697.319
1965/1/1,717.79
1965/4/1,730.191
1965/7/1,749.323
1965/10/1,771.857
1966/1/1,795.734
1966/4/1,804.981
1966/7/1,819.638
1966/10/1,833.302
1967/1/1,844.17
1967/4/1,848.983
1967/7/1,865.233
1967/10/1,881.439
1968/1/1,909.387
1968/4/1,934.344
1968/7/1,950.825
1968/10/1,968.03
1969/1/1,993.337
1969/4/1,1009.02
1969/7/1,1029.956
1969/10/1,1038.147
1970/1/1,1051.2
1970/4/1,1067.375
1970/7/1,1086.059
1970/10/1,1088.608
1971/1/1,1135.156
1971/4/1,1156.271
1971/7/1,1177.675
1971/10/1,1190.297
1972/1/1,1230.609
1972/4/1,1266.369
1972/7/1,1290.566
1972/10/1,1328.904
1973/1/1,1377.49
1973/4/1,1413.887
1973/7/1,1433.838
1973/10/1,1476.289
1974/1/1,1491.209
1974/4/1,1530.056
1974/7/1,1560.026
1974/10/1,1599.679
1975/1/1,1616.116
1975/4/1,1651.853
1975/7/1,1709.82
1975/10/1,1761.831
1976/1/1,1820.487
1976/4/1,1852.332
1976/7/1,1886.558
1976/10/1,1934.273
1977/1/1,1988.648
1977/4/1,2055.909
1977/7/1,2118.473
1977/10/1,2164.27
1978/1/1,2202.76
1978/4/1,2331.633
1978/7/1,2395.053
1978/10/1,2476.949
1979/1/1,2526.61
1979/4/1,2591.247
1979/7/1,2667.565
1979/10/1,2723.883
1980/1/1,2789.842
1980/4/1,2797.352
1980/7/1,2856.483
1980/10/1,2985.557
1981/1/1,3124.206
1981/4/1,3162.532
1981/7/1,3260.609
1981/10/1,3280.818
1982/1/1,3274.302
1982/4/1,3331.972
1982/7/1,3366.322
1982/10/1,3402.561
1983/1/1,3473.413
1983/4/1,3578.848
1983/7/1,3689.179
1983/10/1,3794.706
1984/1/1,3908.054
1984/4/1,4009.601
1984/7/1,4084.25
1984/10/1,4148.551
1985/1/1,4230.168
1985/4/1,4294.887
1985/7/1,4386.773
1985/10/1,4444.094
1986/1/1,4507.894
1986/4/1,4545.34
1986/7/1,4607.669
1986/10/1,4657.627
1987/1/1,4722.156
1987/4/1,4806.16
1987/7/1,4884.555
1987/10/1,5007.994
1988/1/1,5073.372
1988/4/1,5190.036
1988/7/1,5282.835
1988/10/1,5399.509
1989/1/1,5511.253
1989/4/1,5612.463
1989/7/1,5695.365
1989/10/1,5747.237
1990/1/1,5872.701
1990/4/1,5960.028
1990/7/1,6015.116
1990/10/1,6004.733
1991/1/1,6035.178
1991/4/1,6126.862
1991/7/1,6205.937
1991/10/1,6264.54
1992/1/1,6363.102
1992/4/1,6470.763
1992/7/1,6566.641
1992/10/1,6680.803
1993/1/1,6729.459
1993/4/1,6808.939
1993/7/1,6882.098
1993/10/1,7013.738
1994/1/1,7115.652
1994/4/1,7246.931
1994/7/1,7331.075
1994/10/1,7455.288
1995/1/1,7522.289
1995/4/1,7580.997
1995/7/1,7683.125
1995/10/1,7772.586
1996/1/1,7868.468
1996/4/1,8032.84
1996/7/1,8131.408
1996/10/1,8259.771
1997/1/1,8362.655
1997/4/1,8518.825
1997/7/1,8662.823
1997/10/1,8765.907
1998/1/1,8866.48
1998/4/1,8969.699
1998/7/1,9121.097
1998/10/1,9293.991
1999/1/1,9411.682
1999/4/1,9526.21
1999/7/1,9686.626
1999/10/1,9900.169
2000/1/1,10002.179
2000/4/1,10247.72
2000/7/1,10318.165
2000/10/1,10435.744
2001/1/1,10470.231
2001/4/1,10599
2001/7/1,10598.02
2001/10/1,10660.465
2002/1/1,10783.5
2002/4/1,10887.46
2002/7/1,10984.04
2002/10/1,11061.433
2003/1/1,11174.129
2003/4/1,11312.766
2003/7/1,11566.669
2003/10/1,11772.234
2004/1/1,11923.447
2004/4/1,12112.815
2004/7/1,12305.307
2004/10/1,12527.214
2005/1/1,12767.286
2005/4/1,12922.656
2005/7/1,13142.642
2005/10/1,13324.204
2006/1/1,13599.16
2006/4/1,13753.424
2006/7/1,13870.188
2006/10/1,14039.56
2007/1/1,14215.651
2007/4/1,14402.082
2007/7/1,14564.117
2007/10/1,14715.058
2008/1/1,14706.538
2008/4/1,14865.701
2008/7/1,14898.999
2008/10/1,14608.208
2009/1/1,14430.901
2009/4/1,14381.236
2009/7/1,14448.882
2009/10/1,14651.248
2010/1/1,14764.611
2010/4/1,14980.193
2010/7/1,15141.605
2010/10/1,15309.471
2011/1/1,15351.444
2011/4/1,15557.535
2011/7/1,15647.681
2011/10/1,15842.267
2012/1/1,16068.824
2012/4/1,16207.13
2012/7/1,16319.54
2012/10/1,16420.386
2013/1/1,16629.05
2013/4/1,16699.551
2013/7/1,16911.068
2013/10/1,17133.114
2014/1/1,17144.281
2014/4/1,17462.703
2014/7/1,17743.227
2014/10/1,17852.54
2015/1/1,17991.348
2015/4/1,18193.707
2015/7/1,18306.96
2015/10/1,18332.079
2016/1/1,18425.306
2016/4/1,18611.617
2016/7/1,18775.459
2016/10/1,18968.041
2017/1/1,19153.912
2017/4/1,19322.92
2017/7/1,19558.693
2017/10/1,19882.965
2018/1/1,20143.716
2018/4/1,20492.492
2018/7/1,20659.102
2018/10/1,20813.325
2019/1/1,21001.591
2019/4/1,21289.268
2019/7/1,21505.012
2019/10/1,21694.458
2020/1/1,21481.367
2020/4/1,19477.444
2020/7/1,21138.574
2020/10/1,21477.597
2021/1/1,22038.226
2021/4/1,22740.959
2021/7/1,23202.344
2021/10/1,24002.815
