DATE,OBMMIFHA30YF
2017/1/3,4.216
2017/1/4,4.197
2017/1/5,4.163
2017/1/6,4.202
2017/1/9,4.208
2017/1/10,4.217
2017/1/11,4.193
2017/1/12,4.172
2017/1/13,4.243
2017/1/16,
2017/1/17,4.201
2017/1/18,4.225
2017/1/19,4.266
2017/1/20,4.272
2017/1/23,4.243
2017/1/24,4.244
2017/1/25,4.288
2017/1/26,4.3
2017/1/27,4.305
2017/1/30,4.277
2017/1/31,4.275
2017/2/1,4.309
2017/2/2,4.292
2017/2/3,4.275
2017/2/6,4.251
2017/2/7,4.254
2017/2/8,4.199
2017/2/9,4.202
2017/2/10,4.239
2017/2/13,4.255
2017/2/14,4.285
2017/2/15,4.3
2017/2/16,4.289
2017/2/17,4.227
2017/2/20,
2017/2/21,4.261
2017/2/22,4.261
2017/2/23,4.238
2017/2/24,4.172
2017/2/27,4.193
2017/2/28,4.215
2017/3/1,4.294
2017/3/2,4.334
2017/3/3,4.338
2017/3/6,4.337
2017/3/7,4.344
2017/3/8,4.398
2017/3/9,4.44
2017/3/10,4.479
2017/3/13,4.473
2017/3/14,4.534
2017/3/15,4.487
2017/3/16,4.402
2017/3/17,4.392
2017/3/20,4.38
2017/3/21,4.357
2017/3/22,4.338
2017/3/23,4.321
2017/3/24,4.336
2017/3/27,4.289
2017/3/28,4.323
2017/3/29,4.332
2017/3/30,4.327
2017/3/31,4.313
2017/4/3,4.261
2017/4/4,4.28
2017/4/5,4.254
2017/4/6,4.247
2017/4/7,4.269
2017/4/10,4.266
2017/4/11,4.256
2017/4/12,4.241
2017/4/13,4.205
2017/4/14,4.183
2017/4/17,4.219
2017/4/18,4.207
2017/4/19,4.158
2017/4/20,4.222
2017/4/21,4.208
2017/4/24,4.22
2017/4/25,4.231
2017/4/26,4.269
2017/4/27,4.29
2017/4/28,4.231
2017/5/1,4.235
2017/5/2,4.255
2017/5/3,4.236
2017/5/4,4.262
2017/5/5,4.254
2017/5/8,4.24
2017/5/9,4.269
2017/5/10,4.257
2017/5/11,4.297
2017/5/12,4.251
2017/5/15,4.222
2017/5/16,4.234
2017/5/17,4.197
2017/5/18,4.202
2017/5/19,4.182
2017/5/22,4.188
2017/5/23,4.196
2017/5/24,4.217
2017/5/25,4.185
2017/5/26,4.144
2017/5/29,
2017/5/30,4.136
2017/5/31,4.159
2017/6/1,4.179
2017/6/2,4.153
2017/6/5,4.143
2017/6/6,4.15
2017/6/7,4.154
2017/6/8,4.16
2017/6/9,4.181
2017/6/12,4.177
2017/6/13,4.229
2017/6/14,4.165
2017/6/15,4.16
2017/6/16,4.2
2017/6/19,4.219
2017/6/20,4.197
2017/6/21,4.233
2017/6/22,4.219
2017/6/23,4.234
2017/6/26,4.198
2017/6/27,4.219
2017/6/28,4.222
2017/6/29,4.244
2017/6/30,4.252
2017/7/3,4.316
2017/7/4,
2017/7/5,4.289
2017/7/6,4.319
2017/7/7,4.298
2017/7/10,4.323
2017/7/11,4.314
2017/7/12,4.281
2017/7/13,4.273
2017/7/14,4.262
2017/7/17,4.311
2017/7/18,4.253
2017/7/19,4.282
2017/7/20,4.259
2017/7/21,4.242
2017/7/24,4.22
2017/7/25,4.264
2017/7/26,4.262
2017/7/27,4.239
2017/7/28,4.266
2017/7/31,4.233
2017/8/1,4.225
2017/8/2,4.199
2017/8/3,4.24
2017/8/4,4.226
2017/8/7,4.23
2017/8/8,4.229
2017/8/9,4.232
2017/8/10,4.227
2017/8/11,4.194
2017/8/14,4.223
2017/8/15,4.21
2017/8/16,4.238
2017/8/17,4.212
2017/8/18,4.213
2017/8/21,4.218
2017/8/22,4.234
2017/8/23,4.225
2017/8/24,4.228
2017/8/25,4.222
2017/8/28,4.188
2017/8/29,4.153
2017/8/30,4.167
2017/8/31,4.167
2017/9/1,4.171
2017/9/4,
2017/9/5,4.15
2017/9/6,4.132
2017/9/7,4.171
2017/9/8,4.129
2017/9/11,4.149
2017/9/12,4.173
2017/9/13,4.183
2017/9/14,4.175
2017/9/15,4.17
2017/9/18,4.191
2017/9/19,4.189
2017/9/20,4.212
2017/9/21,4.2
2017/9/22,4.225
2017/9/25,4.209
2017/9/26,4.156
2017/9/27,4.17
2017/9/28,4.175
2017/9/29,4.189
2017/10/2,4.194
2017/10/3,4.194
2017/10/4,4.164
2017/10/5,4.188
2017/10/6,4.208
2017/10/9,
2017/10/10,4.206
2017/10/11,4.221
2017/10/12,4.179
2017/10/13,4.156
2017/10/16,4.164
2017/10/17,4.153
2017/10/18,4.22
2017/10/19,4.234
2017/10/20,4.26
2017/10/23,4.244
2017/10/24,4.256
2017/10/25,4.298
2017/10/26,4.288
2017/10/27,4.281
2017/10/30,4.215
2017/10/31,4.247
2017/11/1,4.237
2017/11/2,4.227
2017/11/3,4.22
2017/11/6,4.223
2017/11/7,4.215
2017/11/8,4.236
2017/11/9,4.251
2017/11/10,
2017/11/13,4.281
2017/11/14,4.296
2017/11/15,4.236
2017/11/16,4.251
2017/11/17,4.27
2017/11/20,4.29
2017/11/21,4.31
2017/11/22,4.294
2017/11/23,
2017/11/24,4.131
2017/11/27,4.255
2017/11/28,4.244
2017/11/29,4.287
2017/11/30,4.29
2017/12/1,4.289
2017/12/4,4.27
2017/12/5,4.257
2017/12/6,4.263
2017/12/7,4.236
2017/12/8,4.272
2017/12/11,4.3
2017/12/12,4.332
2017/12/13,4.32
2017/12/14,4.302
2017/12/15,4.287
2017/12/18,4.286
2017/12/19,4.324
2017/12/20,4.35
2017/12/21,4.362
2017/12/22,4.339
2017/12/25,
2017/12/26,4.384
2017/12/27,4.269
2017/12/28,4.279
2017/12/29,4.288
2018/1/1,
2018/1/2,4.283
2018/1/3,4.295
2018/1/4,4.279
2018/1/5,4.327
2018/1/8,4.332
2018/1/9,4.354
2018/1/10,4.425
2018/1/11,4.364
2018/1/12,4.379
2018/1/15,
2018/1/16,4.334
2018/1/17,4.408
2018/1/18,4.421
2018/1/19,4.428
2018/1/22,4.483
2018/1/23,4.448
2018/1/24,4.468
2018/1/25,4.48
2018/1/26,4.466
2018/1/29,4.491
2018/1/30,4.516
2018/1/31,4.556
2018/2/1,4.549
2018/2/2,4.626
2018/2/5,4.635
2018/2/6,4.619
2018/2/7,4.661
2018/2/8,4.718
2018/2/9,4.712
2018/2/12,4.72
2018/2/13,4.759
2018/2/14,4.749
2018/2/15,4.794
2018/2/16,4.75
2018/2/19,
2018/2/20,4.753
2018/2/21,4.792
2018/2/22,4.821
2018/2/23,4.796
2018/2/26,4.785
2018/2/27,4.855
2018/2/28,4.837
2018/3/1,4.796
2018/3/2,4.812
2018/3/5,4.82
2018/3/6,4.87
2018/3/7,4.86
2018/3/8,4.859
2018/3/9,4.853
2018/3/12,4.838
2018/3/13,4.835
2018/3/14,4.825
2018/3/15,4.845
2018/3/16,4.85
2018/3/19,4.88
2018/3/20,4.893
2018/3/21,4.885
2018/3/22,4.858
2018/3/23,4.882
2018/3/26,4.891
2018/3/27,4.893
2018/3/28,4.851
2018/3/29,4.834
2018/3/30,4.788
2018/4/2,4.864
2018/4/3,4.856
2018/4/4,4.861
2018/4/5,4.859
2018/4/6,4.793
2018/4/9,4.835
2018/4/10,4.813
2018/4/11,4.825
2018/4/12,4.85
2018/4/13,4.83
2018/4/16,4.847
2018/4/17,4.83
2018/4/18,4.843
2018/4/19,4.88
2018/4/20,4.885
2018/4/23,4.935
2018/4/24,4.95
2018/4/25,4.972
2018/4/26,4.964
2018/4/27,4.964
2018/4/30,4.959
2018/5/1,4.965
2018/5/2,4.96
2018/5/3,4.967
2018/5/4,4.92
2018/5/7,4.947
2018/5/8,4.935
2018/5/9,4.976
2018/5/10,4.965
2018/5/11,4.98
2018/5/14,4.972
2018/5/15,5.037
2018/5/16,5.049
2018/5/17,5.075
2018/5/18,5.056
2018/5/21,5.047
2018/5/22,5.067
2018/5/23,5.002
2018/5/24,4.981
2018/5/25,4.954
2018/5/28,
2018/5/29,4.907
2018/5/30,4.91
2018/5/31,4.922
2018/6/1,4.958
2018/6/4,4.959
2018/6/5,4.979
2018/6/6,4.993
2018/6/7,5.008
2018/6/8,4.978
2018/6/11,5.011
2018/6/12,5.016
2018/6/13,4.995
2018/6/14,5.001
2018/6/15,4.975
2018/6/18,4.984
2018/6/19,4.978
2018/6/20,4.982
2018/6/21,5.002
2018/6/22,4.994
2018/6/25,4.993
2018/6/26,4.956
2018/6/27,4.948
2018/6/28,4.989
2018/6/29,4.96
2018/7/2,4.969
2018/7/3,4.964
2018/7/4,
2018/7/5,4.972
2018/7/6,4.976
2018/7/9,4.953
2018/7/10,4.977
2018/7/11,4.969
2018/7/12,4.97
2018/7/13,4.949
2018/7/16,4.954
2018/7/17,4.951
2018/7/18,4.948
2018/7/19,4.925
2018/7/20,4.957
2018/7/23,4.991
2018/7/24,4.986
2018/7/25,4.988
2018/7/26,4.98
2018/7/27,5.019
2018/7/30,4.979
2018/7/31,4.989
2018/8/1,5.01
2018/8/2,5.014
2018/8/3,5.007
2018/8/6,4.98
2018/8/7,5.005
2018/8/8,5.02
2018/8/9,4.96
2018/8/10,4.972
2018/8/13,4.982
2018/8/14,4.96
2018/8/15,4.972
2018/8/16,4.989
2018/8/17,4.943
2018/8/20,4.968
2018/8/21,4.969
2018/8/22,4.986
2018/8/23,4.959
2018/8/24,4.987
2018/8/27,4.959
2018/8/28,4.971
2018/8/29,4.957
2018/8/30,4.983
2018/8/31,4.993
2018/9/3,
2018/9/4,5.005
2018/9/5,5.007
2018/9/6,5.008
2018/9/7,5.012
2018/9/10,5.001
2018/9/11,5.006
2018/9/12,5.037
2018/9/13,5.011
2018/9/14,5.04
2018/9/17,5.054
2018/9/18,5.083
2018/9/19,5.119
2018/9/20,5.133
2018/9/21,5.114
2018/9/24,5.124
2018/9/25,5.112
2018/9/26,5.132
2018/9/27,5.101
2018/9/28,5.086
2018/10/1,5.118
2018/10/2,5.09
2018/10/3,5.133
2018/10/4,5.219
2018/10/5,5.235
2018/10/8,
2018/10/9,5.257
2018/10/10,5.244
2018/10/11,5.226
2018/10/12,5.237
2018/10/15,5.22
2018/10/16,5.232
2018/10/17,5.217
2018/10/18,5.267
2018/10/19,5.266
2018/10/22,5.288
2018/10/23,5.267
2018/10/24,5.261
2018/10/25,5.283
2018/10/26,5.248
2018/10/29,5.248
2018/10/30,5.283
2018/10/31,5.272
2018/11/1,5.289
2018/11/2,5.32
2018/11/5,5.33
2018/11/6,5.322
2018/11/7,5.304
2018/11/8,5.319
2018/11/9,5.338
2018/11/12,
2018/11/13,5.313
2018/11/14,5.306
2018/11/15,5.26
2018/11/16,5.266
2018/11/19,5.26
2018/11/20,5.261
2018/11/21,5.255
2018/11/22,
2018/11/23,5.221
2018/11/26,5.271
2018/11/27,5.257
2018/11/28,5.279
2018/11/29,5.22
2018/11/30,5.21
2018/12/3,5.21
2018/12/4,5.164
2018/12/5,5.173
2018/12/6,5.166
2018/12/7,5.179
2018/12/10,5.111
2018/12/11,5.123
2018/12/12,5.105
2018/12/13,5.154
2018/12/14,5.139
2018/12/17,5.151
2018/12/18,5.098
2018/12/19,5.064
2018/12/20,5.072
2018/12/21,5.082
2018/12/24,4.962
2018/12/25,
2018/12/26,5.048
2018/12/27,5.056
2018/12/28,5.045
2018/12/31,4.99
2019/1/1,
2019/1/2,4.955
2019/1/3,4.967
2019/1/4,4.931
2019/1/7,4.919
2019/1/8,4.927
2019/1/9,4.975
2019/1/10,4.916
2019/1/11,4.93
2019/1/14,4.908
2019/1/15,4.911
2019/1/16,4.932
2019/1/17,4.948
2019/1/18,4.945
2019/1/21,
2019/1/22,4.934
2019/1/23,4.988
2019/1/24,4.97
2019/1/25,4.943
2019/1/28,4.939
2019/1/29,4.91
2019/1/30,4.9
2019/1/31,4.817
2019/2/1,4.893
2019/2/4,4.899
2019/2/5,4.873
2019/2/6,4.891
2019/2/7,4.87
2019/2/8,4.859
2019/2/11,4.835
2019/2/12,4.887
2019/2/13,4.85
2019/2/14,4.872
2019/2/15,4.894
2019/2/18,
2019/2/19,4.829
2019/2/20,4.844
2019/2/21,4.847
2019/2/22,4.825
2019/2/25,4.809
2019/2/26,4.817
2019/2/27,4.775
2019/2/28,4.855
2019/3/1,4.856
2019/3/4,4.888
2019/3/5,4.885
2019/3/6,4.846
2019/3/7,4.832
2019/3/8,4.813
2019/3/11,4.821
2019/3/12,4.791
2019/3/13,4.76
2019/3/14,4.795
2019/3/15,4.82
2019/3/18,4.78
2019/3/19,4.766
2019/3/20,4.797
2019/3/21,4.709
2019/3/22,4.638
2019/3/25,4.588
2019/3/26,4.6
2019/3/27,4.537
2019/3/28,4.554
2019/3/29,4.55
2019/4/1,4.585
2019/4/2,4.632
2019/4/3,4.639
2019/4/4,4.627
2019/4/5,4.659
2019/4/8,4.598
2019/4/9,4.635
2019/4/10,4.63
2019/4/11,4.595
2019/4/12,4.601
2019/4/15,4.655
2019/4/16,4.664
2019/4/17,4.649
2019/4/18,4.68
2019/4/19,4.617
2019/4/22,4.683
2019/4/23,4.689
2019/4/24,4.65
2019/4/25,4.654
2019/4/26,4.605
2019/4/29,4.645
2019/4/30,4.641
2019/5/1,4.631
2019/5/2,4.649
2019/5/3,4.642
2019/5/6,4.585
2019/5/7,4.598
2019/5/8,4.598
2019/5/9,4.591
2019/5/10,4.593
2019/5/13,4.586
2019/5/14,4.55
2019/5/15,4.523
2019/5/16,4.532
2019/5/17,4.556
2019/5/20,4.581
2019/5/21,4.598
2019/5/22,4.58
2019/5/23,4.516
2019/5/24,4.506
2019/5/27,
2019/5/28,4.51
2019/5/29,4.474
2019/5/30,4.493
2019/5/31,4.39
2019/6/3,4.339
2019/6/4,4.311
2019/6/5,4.329
2019/6/6,4.34
2019/6/7,4.304
2019/6/10,4.322
2019/6/11,4.357
2019/6/12,4.332
2019/6/13,4.385
2019/6/14,4.326
2019/6/17,4.335
2019/6/18,4.269
2019/6/19,4.299
2019/6/20,4.143
2019/6/21,4.21
2019/6/24,4.183
2019/6/25,4.152
2019/6/26,4.171
2019/6/27,4.159
2019/6/28,4.112
2019/7/1,4.193
2019/7/2,4.168
2019/7/3,4.127
2019/7/4,
2019/7/5,4.136
2019/7/8,4.152
2019/7/9,4.199
2019/7/10,4.196
2019/7/11,4.197
2019/7/12,4.23
2019/7/15,4.246
2019/7/16,4.282
2019/7/17,4.205
2019/7/18,4.173
2019/7/19,4.125
2019/7/22,4.121
2019/7/23,4.114
2019/7/24,4.13
2019/7/25,4.136
2019/7/26,4.159
2019/7/29,4.147
2019/7/30,4.141
2019/7/31,4.126
2019/8/1,4.046
2019/8/2,3.987
2019/8/5,3.98
2019/8/6,3.972
2019/8/7,3.953
2019/8/8,4.036
2019/8/9,3.978
2019/8/12,3.978
2019/8/13,3.998
2019/8/14,4.01
2019/8/15,3.995
2019/8/16,3.975
2019/8/19,3.98
2019/8/20,3.977
2019/8/21,3.984
2019/8/22,3.991
2019/8/23,3.989
2019/8/26,3.976
2019/8/27,3.994
